name,id_location
Albertina Museum,"Vienna, Austria"
Albright Art Gallery,"New York, USA"
Albright-Knox Art Gallery,"Buffalo, USA"
Alex Reid and Lefevre,"London, England"
Art Gallery of New South Wales,"Sydney, Australia"
Art Gallery of Ontario,"Toronto, Canada"
Art Gallery of South Australia,"Adelaide, Australia"
Art Gallery of Western Australia,"Perth, Australia"
"Art Gallery, NZV Building","Darwin, USA"
Art Institute of Chicago,"Chicago, USA"
Arthur M. Sackler Gallery,"Washington, USA"
Baltimore Museum of Art,"Baltimore, USA"
Barbican Art Gallery,"London, England"
Barbican Centre,"London, England"
Beloit College,"Beloit, USA"
Bonnefantenmuseum,"Maastricht, Netherlands"
Borusan Contemporary,"Istanbul, Turkey"
Boussod et Valadon,"Paris, France"
Bridgestone Museum of Art,"Tokyo, Japan"
Brooklyn Museum,"New York, USA"
Brooklyn Museum of Art,"New York, USA"
Brousan Contemporary,"Istanbul, Turkey"
Buchholz Gallery,"Berlin, Germany"
Buffalo AKG Art Museum,"Buffalo, USA"
Buffalo Fine Arts Academy,"Buffalo, USA"
California Palace of the Legion of Honor,"San Francisco, USA"
Carnegie Institute,"Washington, USA"
Carnegie Museum of Art,"Pittsburgh, USA"
Casteliani Art Museum,"Lewiston, USA"
Cedar Rapids Art Association,"Cedar Rapids, USA"
Cedar Rapids Museum of Art,"Cedar Rapids, USA"
Centraal Museum,"Utrecht, Netherlands"
Central Illinois Art Exposition,"Bloomington, USA"
Centre national d’art et de culture Georges Pompidou,"Paris, France"
Century Club,"New York, USA"
Charlottenborg,"Copenhagen, Denmark"
Château de Versailles,"Versailles, France"
Chenil Gallery,"London, England"
China Art Gallery,"Beijing, China"
Cincinnati Art Museum,"Cincinnati, USA"
City Art Gallery,"Manchester, England"
City Art Museum of Saint Louis,"St. Louis, USA"
Cleveland Museum of Art,"Cleveland, USA"
Coe College,"Cedar Rapids, USA"
Collection Zimmerli Art Museum,"New Brunswick, USA"
Collections de la Ville de Saint-Germain-en-Laye,"-, France"
Corcoran Gallery of Art,"Washington, USA"
Courtauld Institute of Art,"London, England"
Cranbrook Academy of Art,"Bloomfield Hills, USA"
Cultureel Centrum De Beyerd,"Breda, Netherlands"
Curaçaosch Museum,"Willemstad, Curaçao"
Dallas Museum of Art,"Dallas, USA"
Dallas Museum of Fine Arts,"Dallas, USA"
Darnell Gallery,"Brisbane, Australia"
Davenport Municipal Art Gallery,"Davenport, USA"
Davenport Museum of Art,"Davenport, USA"
Dayton Art Institute,"Dayton, USA"
De Muntentoren,"Deventer, Netherlands"
de Young museum,"San Francisco, USA"
Denver Art Museum,"Denver, USA"
Des Moines Art Center,"Des Moines, USA"
Detroit Institute of Arts,"Detroit, USA"
Dubuque Art Association,"Dubuque, USA"
Durand Art Institute,"Lake Forest, USA"
Ecole nationale supérieure des Beaux-Arts,"Paris, France"
"Exposition Universelle, pavillon Manet","Paris, France"
Faulkner Memorial Art Gallery,"Rochester, USA"
Ferargil Galleries,"New York, USA"
Figge Art Museum,"Davenpor, USA"
Frankfurter Kunstverein,"Frankfurt, Germany"
Freer Gallery of Art,"Washington, USA"
"Freiburg im Breisgau, Friedrichsbau","Freiburg im Breisgau, Germany"
Frick Collection,"New Yor, USA"
Fudger Gallery,"Toronto, Canada"
"Fundação Bienal de São Paulo, Parque Ibirapuera","São Paulo, Brazil"
Fundación Mapfre,"Madrid, Spain"
Galeria de Arte das Folhas,"São Paulo, Brazil"
Galeria do SESI,"São Paulo, Brazil"
Galerie Alfred Flechtheim,"Berlin, Germany"
Galerie Bernheim-Jeune,"Paris, France"
Galerie Commeter,"Hamburg, Germany"
Galerie Georges Petit,"Paris, France"
Galerie Manzi-Joyant,"Paris, France"
Galerie Marcel Bernheim,"Paris, France"
Galerie Simon,"Montreal, Canada"
Galeries nationales du Grand Palais,"Paris, France"
Galeries Paul Rosenberg,"Paris, France"
Gebouw Lange Voorhout 1,"Hague, Netherlands"
"Gebouw van de Stichting ""de Armen de Poth""","Amersfoort, Netherlands"
Geelong Art Gallery,"Geelong, Australia"
Gemeentemuseum,"Hague, Netherlands"
Gemeentemuseum Den Haag,"Hague, Netherlands"
Genootschap van kunstenaren Moderne Kunst Kring,"Amsterdam, Netherlands"
Glenbow Museum,"Calgary, Canada"
Göteborgs Konstmuseum,"Gothenburg, Sweden"
Grafton Galleries,"London, England"
Grand Palais,"Paris, France"
Graphisches Kabinett,"Munich, Germany"
Haagsche Kunstkring [Buitenhof],"Hague, Netherlands"
Hayward Gallery,"London, England"
Hermitage Amsterdam,"Amsterdam, Netherlands"
High Museum of Art,"Atlanta, USA"
Hirshhorn Museum and Sculpture Garden,"Washington, USA"
Ho-Am Art Museum,"Yongin, South Korea"
Ho-Am Gallery,"Yongin, South Korea"
Hong Kong Museum of Art,"Hong Kong, Hong Kong"
Hôtel de Sade,"Saint-Rémy-de-Provence, France"
Indianapolis Museum of Art,"Indianapolis, USA"
"Institute for the Fine Arts, Rice University","Houston, USA"
Institute of Contemporary Art,"Boston, USA"
Instituto Moreira Salles,"Rio de Janeiro, Brazil"
"Iowa Union Lounge, University of Iowa","Iowa, USA"
Isaac Delgado Museum,"New Orleans, USA"
Ishikawa Prefectural Museum of Art,"Kanazawa, Japan"
Joslyn Art Museum,"Omaha, USA"
Junior Council of Museum of Modern Art,"New York, USA"
Kestner-Gesellschaft,"Hanover, Germany"
Kimbell Art Museum,"Fort Worth, USA"
