title,creation_date,id_artist,id_museum,id_medium,id_art_movement
Almond Blossoms,1890,Vincent van Gogh,Van Gogh Museum,oil on canvas,Post Impressionism
American Gothic,1930,Grant Wood,Art Institute of Chicago,oil on beaver board,Regionalism
Archer,1919,Theo van Doesburg,Museum of Fine Arts,pencil and gouache on paper,Dada
Au Moulin Rouge,1892-1895,Henri de Toulouse-Lautrec,Art Institute of Chicago,oil on canvas,Post Impressionism
Beata Beatrix,1864,Dante Gabriel Rossetti,Tate Britain,oil on canvas,Aestheticism
Campbell's Soup I,1968,Andy Warhol,Museum Folkwang,serigraphy,Pop Art
Children’s Games,1560,Pieter Bruegel the Elder,Kunsthistorisches Museum,oil on wood,Flemish Mannerism
Church at Yuquot Village,1929,Emily Carr,Art Gallery of Ontario,oil on canvas,Modernism
Constructivo en Gris y Negro con Centro Rojo,1933,Joaquín Torres-García,Museu Coleção Berardo,oil on canvas,Constructivism
Daniel in the Lions' Den,1614/1616,Peter Paul Rubens,National Gallery of Art,oil on canvas,Baroque
Dante et Virgile,1850,William-Adolphe Bouguereau,Musée d'Orsay,oil on canvas,Academic Art
De sterrennacht,1889,Vincent van Gogh,Museum of Modern Art,oil on canvas,Post Impressionism
Der Kuss,1907-1908,Gustav Klimt,Österreichische Galerie Belvedere,oil and gold leaf on canvas,Symbolism
El Aquelarre,1797-1798,Francisco Goya,Museo Lázaro Galdiano,oil on canvas,Romanticism
Ettore e Andromaca,1924,Giorgio de Chirico,La Galleria Nazionale,oil on canvas,Surrealism
Ferdinand Marcos Paintin,1968,Claudio Bravo,Malacañang Museum,charcoal on paper,Photorealism
Fish Magic,1925,Paul Klee,Philadelphia Museum of Art,oil and watercolor on canvas on panel,Surrealism
Harpspelende koning David,1622,Gerard van Honthorst,Centraal Museum,oil on canvas,Classicism
Independência Ou Morte,1888,Pedro Américo,Museu do Ipiranga,oil on canvas,Academic Art
Intersecting Lines,1920,Lazar Khidekel,Lazar Khidekel Society,india ink on paper,Suprematism
Invenção baiana no. 1,1952,Samson Flexor,The Adolpho Leirner Collection of Brazilian Constructive Art,oil on canvas,Geometric Abstraction
Just What Is It That Makes Today's Home So Different and So Appealing?,1956,Richard Hamilton,Kunsthalle Tübingen,collage,Pop Art
Korenveld met kraaien,1890,Vincent van Gogh,Van Gogh Museum,oil on canvas,Post Impressionism
La Bohémienne endormie,1897,Henri Rousseau,Museum of Modern Art,oil on canvas,Naïve art
La nascita di Venere,1483-1485,Sandro Botticelli,Uffizi Gallery,tempera on panel,Reinassance
La Princesse du pays de la porcelaine,1863-1865,James McNeill Whistler,Freer Gallery of Art,oil on canvas,Aestheticism
La Promenade,1875,Claude Monet,National Gallery of Art,oil on canvas,Impressionism
Le Déjeuner sur l'herbe,1863,Edouard Manet,Musée d'Orsay,oil on canvas,Impressionism
Le Jardinage ou L'art des jardins,1925,Paul Vera,Collections de la Ville de Saint-Germain-en-Laye,oil on canvas,Art Deco
Le Rêve,1910,Henri Rousseau,Museum of Modern Art,oil on canvas,Primitivism
